id,name,old_price,new_price,old_quantity,new_quantity
f1_sp000000395,,NEW,,NEW,
f1_sp000000334,,NEW,,NEW,
f1_sp000000636,,NEW,,NEW,
f1_sp000000411,,NEW,,NEW,
f1_sp000000598,,NEW,,NEW,
f1_sp000000227,,NEW,,NEW,
f1_sp000000387,,NEW,,NEW,
f1_sp000000599,,NEW,,NEW,
f1_sp000000412,,NEW,,NEW,
f1_sp000000299,,NEW,,NEW,
f1_sp000000388,,NEW,,NEW,
f1_sp000000567,,NEW,,NEW,
f1_sp000000303,,NEW,,NEW,
f1_sp000000566,,NEW,,NEW,
f1_sp000027494,,NEW,,NEW,
f1_sp000024440,,NEW,,NEW,
f1_sp000024441,,NEW,,NEW,
f1_sp000032614,,NEW,,NEW,
f1_sp000032617,,NEW,,NEW,
f1_sp000032618,,NEW,,NEW,
f1_sp000034783,,NEW,,NEW,
f1_sp000023978,,NEW,,NEW,
f1_sp000017249,,NEW,,NEW,
f1_sp000017251,,NEW,,NEW,
f1_sp000017253,,NEW,,NEW,
f1_sp000017254,,NEW,,NEW,
f1_sp000017255,,NEW,,NEW,
f1_sp000017256,,NEW,,NEW,
f1_sp000017257,,NEW,,NEW,
f1_sp000017258,,NEW,,NEW,
f1_sp000017259,,NEW,,NEW,
f1_sp000017260,,NEW,,NEW,
f1_sp000017261,,NEW,,NEW,
f1_sp000017262,,NEW,,NEW,
f1_sp000019713,,NEW,,NEW,
f1_sp000019714,,NEW,,NEW,
f1_sp000019715,,NEW,,NEW,
f1_sp000019716,,NEW,,NEW,
f1_sp000019717,,NEW,,NEW,
f1_sp000019720,,NEW,,NEW,
f1_sp000020392,,NEW,,NEW,
f1_sp000020393,,NEW,,NEW,
f1_sp000020396,,NEW,,NEW,
f1_sp000020397,,NEW,,NEW,
f1_sp000020398,,NEW,,NEW,
f1_sp000020400,,NEW,,NEW,
f1_sp000020401,,NEW,,NEW,
f1_sp000021512,,NEW,,NEW,
f1_sp000011344,,NEW,,NEW,
f1_sp000026209,,NEW,,NEW,
f1_sp000005971,,NEW,,NEW,
f1_sp000013642,,NEW,,NEW,
f1_sp000019055,,NEW,,NEW,
f1_sp000020017,,NEW,,NEW,
f1_sp000020025,,NEW,,NEW,
f1_sp000020065,,NEW,,NEW,
f1_sp000029831,,NEW,,NEW,
f1_sp000029832,,NEW,,NEW,
f1_sp000032318,,NEW,,NEW,
f1_sp000032494,,NEW,,NEW,
f1_sp000032501,,NEW,,NEW,
f1_sp000032503,,NEW,,NEW,
f1_sp000033631,,NEW,,NEW,
f1_000033632,,NEW,,NEW,
f1_sp000033638,,NEW,,NEW,
f1_sp000033639,,NEW,,NEW,
f1_sp000033642,,NEW,,NEW,
f1_sp000033643,,NEW,,NEW,
f1_sp000034130,,NEW,,NEW,
f1_sp000034143,,NEW,,NEW,
f1_sp000034170,,NEW,,NEW,
f1_sp000034610,,NEW,,NEW,
f1_sp000034620,,NEW,,NEW,
f1_sp000035030,,NEW,,NEW,
f1_sp000035234,,NEW,,NEW,
f1_sp000035366,,NEW,,NEW,
f1_sp000035371,,NEW,,NEW,
f1_sp000035391,,NEW,,NEW,
f1_sp000032716,,NEW,,NEW,
f1_sp000005827,,NEW,,NEW,
f1_sp000005828,,NEW,,NEW,
f1_sp000005830,,NEW,,NEW,
f1_sp000005831,,NEW,,NEW,
f1_sp000028187,,NEW,,NEW,
f1_sp000034842,,NEW,,NEW,
f1_sp000033532,,NEW,,NEW,
f1_sp000000702,,NEW,,NEW,
f1_sp000024463,,NEW,,NEW,
f1_sp000021513,,NEW,,NEW,
f1_sp000000066,,NEW,,NEW,
f1_sp000011414,,NEW,,NEW,
f1_sp000000721,,NEW,,NEW,
f1_sp000019769,,NEW,,NEW,
f1_sp000021532,,NEW,,NEW,
f1_sp000013176,,NEW,,NEW,
f1_sp000025574,,NEW,,NEW,
f1_sp000026077,,NEW,,NEW,
f1_sp000010779,,NEW,,NEW,
f1_sp000010780,,NEW,,NEW,
f1_sp000010781,,NEW,,NEW,
f1_sp000010782,,NEW,,NEW,
f1_sp000010783,,NEW,,NEW,
f1_sp000025889,,NEW,,NEW,
f1_sp000025890,,NEW,,NEW,
f1_sp000025892,,NEW,,NEW,
f1_sp000025893,,NEW,,NEW,
f1_sp000022618,,NEW,,NEW,
f1_sp000033603,,NEW,,NEW,
f1_sp000028558,,NEW,,NEW,
f1_sp000028559,,NEW,,NEW,
f1_sp000028560,,NEW,,NEW,
f1_sp000022675,,NEW,,NEW,
f1_sp000030922,,NEW,,NEW,
f1_sp000022493,,NEW,,NEW,
